S.No.	Gold Standard Answer	Student Answer	Prob for Entailment	Prob for Neutral	Prob for Contradiction
0	deep learning is a part of machine learning with an algorithm inspired by the structure and function of the brain, which is called an artificial neural network. in the mid-1960s, alexey grigorevich ivakhnenko published the first general, while working on deep learning network. deep learning is suited over a range of fields such as computer vision, speech recognition, natural language processing, etc.	profound learning may be a portion of machine learning with an calculation propelled by the structure and work of the brain, which is called an fake neural organize.	0.36020988	0.4563447	0.18344541
1	ai stands for artificial intelligence. it is a technique which enables machines to mimic human behavior.machine learning is a subset of ai which uses statistical methods to enable machines to improve with experiences.deep learning is a part of machine learning, which makes the computation of multi-layer neural networks feasible. it takes advantage of neural networks to simulate human-like decision making.	ai stands for manufactured insights. it may be a procedure which enables machines to imitate human behavior.machine learning may be a subset of ai which employments measurable strategies to empower machines to make strides with experiences.deep learning may be a portion of machine learning, which makes the computation of multi-layer neural systems doable.	0.844482	0.13716082	0.018357214
2	supervised learning is a system in which both input and desired output data are provided. input and output data are labeled to provide a learning basis for future data processing.unsupervised procedure does not need labeling information explicitly, and the operations can be carried out without the same. the common unsupervised learning method is cluster analysis. it is used for exploratory data analysis to find hidden patterns or grouping in data.	administered learning could be a framework in which both input and wanted yield information are provided. input and yield information are labeled to supply a learning premise for future information processing.unsupervised method does not require labeling data unequivocally, and the operations can be carried out without the same.	0.9748493	0.011099603	0.014051172
3	both shallow and deep networks are good enough and capable of approximating any function. but for the same level of accuracy, deeper networks can be much more efficient in terms of computation and number of parameters. deeper networks can create deep representations. at every layer, the network learns a new, more abstract representation of the input.	both shallow and deep networks are capable of approximating any function and are good enough.deeper networks, on the other hand, can be substantially more efficient in terms of computation for the same level of accuracy. 	0.7186065	0.26718056	0.0142129725
4	overfitting is the most common issue which occurs in deep learning. it usually occurs when a deep learning algorithm apprehends the sound of specific data. it also appears when the particular algorithm is well suitable for the data and shows up when the algorithm or model represents high variance and low bias.	it ordinarily happens when a profound learning calculation secures the sound of particular information.	0.8404742	0.07908797	0.080437936
5	backpropagation is a training algorithm which is used for multilayer neural networks. it transfers the error information from the end of the network to all the weights inside the network. it allows the efficient computation of the gradient.backpropagation can be divided into the following steps.it can forward propagation of training data through the network to generate output. it uses target value and output value to compute error derivative concerning output activations.it can backpropagate to compute the derivative of the error concerning output activations in the previous layer and continue for all hidden layers.it uses the previously calculated derivatives for output and all hidden layers to calculate the error derivative concerning weights.it updates the weights.	backpropagation may be a preparing calculation which is utilized for multilayer neural systems. it exchanges the mistake data from the conclusion of the organize to all the weights interior the organize. it permits the proficient computation of the gradient.it employments target esteem and yield esteem to compute mistake subordinate concerning yield activations.it can backpropagate to compute the derivative of the blunder concerning yield actuations within the past layer and proceed for all covered up layers.	0.2953396	0.23644105	0.4682193
6	fourier transform package is highly efficient for analyzing, maintaining, and managing a large databases. the software is created with a high-quality feature known as the special portrayal. one can effectively utilize it to generate real-time array data, which is extremely helpful for processing all categories of signals.	one can viably utilize it to create real-time cluster information, which is amazingly supportive for preparing all categories of signals.	0.9535235	0.04535457	0.0011219014
7	there are several forms and categories available for the particular subject, but the autonomous pattern represents independent or unspecified mathematical bases which are free from any specific categorizer or formula.	independent design speaks to autonomous or unspecified numerical bases which are free from any particular categorizer or equation.	0.5713386	0.10998941	0.31867194
8	deep learning has brought significant changes or revolution in the field of machine learning and data science. the concept of a complex neural network (cnn) is the main center of attention for data scientists. it is widely taken because of its advantages in performing next-level machine learning operations. the advantages of deep learning also include the process of clarifying and simplifying issues based on an algorithm due to its utmost flexible and adaptable nature. it is one of the rare procedures which allow the movement of data in independent pathways. most of the data scientists are viewing this particular medium as an advanced additive and extended way to the existing process of machine learning and utilizing the same for solving complex day to day issues.	the concept of a complex neural arrange (cnn) is the most center of consideration for information researchers. it is broadly taken since of its points of interest in performing next-level machine learning operations. the focal points of deep learning moreover incorporate the method of clarifying and streamlining issues based on an calculation due to its most extreme adaptable and versatile nature.	0.32725912	0.4078901	0.2648507
9	deep learning frameworks or tools are,tensorflow, keras, chainer, pytorch, theano & ecosystem, caffe2, cntk, dynetgensim, dsstne, gluon, paddle, mxnet, bigdl	there are a lot of tools.	0.8273931	0.17149797	0.0011089314
10	in neural networking, weight initialization is one of the essential factors. a bad weight initialization prevents a network from learning. on the other side, a good weight initialization helps in giving a quicker convergence and a better overall error. biases can be initialized to zero. the standard rule for setting the weights is to be close to zero without being too small.	it refers to initialising weights to the model parameters which we want to train. its very important for convergence.	0.0058021504	0.99239135	0.0018064814
11	data normalization is an essential preprocessing step, which is used to rescale values to fit in a specific range. it assures better convergence during backpropagation. in general, data normalization boils down to subtracting the mean of each data point and dividing by its standard deviation.	information normalization bubbles down to subtracting the cruel of each information point and partitioning by its standard deviation.	0.89157933	0.06396162	0.044459168
12	if the set of weights in the network is put to a zero, then all the neurons at each layer will start producing the same output and the same gradients during backpropagation.as a result, the network cannot learn at all because there is no source of asymmetry between neurons. that is the reason why we need to add randomness to the weight initialization process.	the model cannot learn at all since there's no source of asymmetry between neurons. that's the reason why we ought to include arbitrariness to the weight initialization prepare.	0.9899232	0.008090044	0.001986795
13	the activation function is used to introduce nonlinearity into the neural network so that it can learn more complex function. without the activation function, the neural network would be only able to learn function, which is a linear combination of its input data.activation function translates the inputs into outputs. the activation function is responsible for deciding whether a neuron should be activated or not. it makes the decision by calculating the weighted sum and further adding bias with it. the basic purpose of the activation function is to introduce non-linearity into the output of a neuron.	enactment work deciphers the inputs into yields. the actuation work is mindful for choosing whether a neuron ought to be enacted or not. it makes the choice by calculating the weighted entirety and advance including inclination with it. it brings linearity to the network.	0.009592266	0.023000654	0.9674071
14	the binary step function is an activation function, which is usually based on a threshold. if the input value is above or below a particular threshold limit, the neuron is activated, then it sends the same signal to the next layer. this function does not allow multi-value outputs.	its basically a activation function which gets activated once the value reaches a certain threshold, else it remains inactive.	0.020129755	0.9009358	0.07893432
